stop_id,stop_name,stop_desc,route_id
1547,Sam's Club,Westbound SW 33rd PL @ Farside SW 37th Blvd,12
16,UF Health,Southbound Center DR @ Nearside Mowry RD,12
1304,Regions Bank @ Archer Road,Northbound SW 39th BLVD @ Nearside Archer RD,12
24,Tropic Carwash,Westbound Archer RD @ Farside Surge Area DR,12
1299,Kohl's Department Store @ SW 34th ST,Southbound SW 34th ST @ Nearside SW 35th PL,12
658,Shands Hospital @ Davis Cancer Pavilion,Southbound Gale Lemerand DR @ Nearside Archer RD,12
688,Tanglewood Apartments,Northbound SW 13th ST @ Nearside SW 14th DR,13
683,Meridian Behavioral Healthcare,Northbound SW 13th ST @ Nearside Williston RD,13
687,Bivens Cove Apartments,Northbound SW 13th ST @ Nearside SW 36th PL,13
686,CDS Family and Behavioral Services,Northbound SW 13th ST @ Nearside SW 36th PL,13
682,Budget Inn,Northbound SW 13th ST @ Nearside Williston RD,13
693,home2 Hotel,Northbound SW 13th ST @ Nearside SW 21st AVE,13
446,UF Health Archer Road,Westbound Archer RD @ Farside SW 16th ST,13
681,US 441 South,Southbound SW 13th ST @ Farside Williston RD,13
684,Residence Inn,Northbound SW 13th ST @ Farside Williston RD,13
1373,CVS @ SW 13th ST,Northbound SW 13th ST @ Nearside SW 16th AVE,13
690,Comfort Suites Hotel,Northbound SW 13th ST @ Farside SW 23rd PL,13
